Invoice Paid Date,Invoice Cost Centre Description,Invoice Account Description,Supplier Name,Transparency Invoice Amount
17/01/2024,EP CEP RESTART CPA 5C HOME COUNTIES,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,REED IN PARTNERSHIP LTD,"£79,567"
22/01/2024,DIG WORKPLACE COMPUTING SERVICE DEL P,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - EQUIPMENT,COMPUTACENTER UK LTD,"£79,469"
09/01/2024,DIG PUBLIC CLOUD DEL P,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,CYBERNETICA SOLUTIONS LTD,"£79,380"
24/01/2024,CHG INTEGRATED SERVICE,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,CAPGEMINI UK PLC,"£79,270"
09/01/2024,CASD CENTRAL ANALYSIS AND SCIENCE DIRECTORATE,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROF SERVICES - RECRUITMENT,CABINET OFFICE,"£79,200"
30/01/2024,PCP ESTATES LCW DELP,EXP - PURCHASE OF GOODS/SERVICES - ACCOMM &BLDNG MNGMT - FM PROJECTS NON CAPITAL,MORRIS & SPOTTISWOOD,"£79,128"
24/01/2024,EP CEP RESTART CPA 3B GREATER MANCHESTER,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,INGEUS UK LTD,"£79,069"
24/01/2024,CASD ANALYTICAL COMMUNITY,EXP - PURCHASE OF GOODS/SERVICES  - RESEARCH & DEVELOPMENT - OTHER OUTSOURCED - ESA10,NATIONAL CENTRE FOR SOCIAL RESEARCH,"£78,786"
15/01/2024,HR EAP,EXP - PURCHASE OF GOODS/SERVICES - PERSONNEL RELATED,PAM GROUP,"£78,210"
12/01/2024,DIG LIGHTHOUSE TEAM,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,IBM UNITED KINGDOM LTD,"£77,976"
30/01/2024,DIG WORKPLACE COMPUTING SERVICE DEL P,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - EQUIPMENT,CDW LTD,"£77,824"
02/01/2024,EP CEP RESTART CPA 4A SOUTH WEST,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,SEETEC PLUSS LTD,"£77,647"
31/01/2024,DIG DIGITAL UC MANCHESTER DEL P,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,ALEXANDER MANN SOLUTIONS LTD-2WM,"£77,606"
02/01/2024,FG CS HS MEDICAL SERVICES SPECIFIC COSTS,EXP - PURCHASE OF GOODS/SERVICES - MEDICAL - FIXED COSTS,CENTRE FOR HEALTH & DISABILITY ASSESSMENTS LTD,"£77,454"
31/01/2024,CHG FAS IT,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,ALEXANDER MANN SOLUTIONS LTD-2WM,"£77,336"
22/01/2024,DIG CROSS CUTTING SERVICES,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,SCOTT LOGIC LTD,"£77,243"
25/01/2024,CHG UC DESIGN,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,ALEXANDER MANN SOLUTIONS LTD-2WM,"£77,233"
25/01/2024,DIG DIGITAL UC WORKING AGE LEEDS DEL P,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,ALEXANDER MANN SOLUTIONS LTD-2WM,"£77,178"
02/01/2024,PCP ESTATES LCW DELP,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROF SERVICES - NON-ADVISORY,CONAMAR BUILDING SERVICES LTD,"£77,117"
16/01/2024,CHG UC DESIGN & BUILD PROGRAMME MANAGER,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,SCOTT LOGIC LTD,"£76,884"
03/01/2024,DIG INTEGRATION - STRATEGIC ARA API GATEWAY DELP,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,IBM UNITED KINGDOM LTD,"£76,874"
02/01/2024,CHG 620254 EDINBURGH LYNDEAN HOUSE,EXP - PURCHASE OF GOODS/SERVICES - ACCOMM &BLDNG MNGMT - FM PROJECTS NON CAPITAL,MORRIS & SPOTTISWOOD,"£76,466"
25/01/2024,CASD ANALYTICAL COMMUNITY,EXP - PURCHASE OF GOODS/SERVICES  - RESEARCH & DEVELOPMENT - OTHER OUTSOURCED - ESA10,IPSOS MORI,"£76,290"
16/01/2024,OPS DD DEPUTY DIRECTOR (DECISION MAKING),EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - CONTRACTED OUT SCANNING,EQUANS SERVICES LTD,"£76,235"
19/01/2024,DIG CHILD R&B & CF BUSINESS SERVICES - PEOPLE DEL P,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,ACCENTURE UK LTD,"£75,763"
03/01/2024,DIG WORKPLACE COMPUTING SERVICE DEL P,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - EQUIPMENT,CDW LTD,"£75,761"
02/01/2024,EP CEP WHP DWP CONTRACTS CENT ENG CPA1,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,SHAW TRUST,"£75,392"
22/01/2024,DIG CROSS CUTTING SERVICES,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,SCOTT LOGIC LTD,"£75,079"
23/01/2024,DIG INTEGRATION ONBOARDING AND ADOPTION DEL P,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,LAYER 7 IT SECURITY,"£75,000"
17/01/2024,DIG CONTACT CENTRE SERVICE DEL P,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING CONTACT CENTRES,PCI PAL,"£74,476"
08/01/2024,FG CRC CYBER RESILIENCE CENTRE,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,LOGIQ CONSULTING  LTD,"£74,464"
11/01/2024,DIG DATA ACCESS LAYER (SRA) DEL P,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,DELOITTE LLP,"£74,227"
31/01/2024,PCP ESTATES FFE DELA,EXP - PURCHASE OF GOODS/SERVICES - ACCOMM & BLDNG MGMT - FURNITURE & FITTINGS,WAGSTAFF BROS LTD T/A WAGSTAFF INTERIORS GROUP-2WM,"£74,074"
31/01/2024,DIG DEBT MGT - MAINTENANCE,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,CAPGEMINI UK PLC,"£73,749"
29/01/2024,PCP ESTATES FM DELP,EXP - PURCHASE OF GOODS/SERVICES -ACCOMM & BLDNG MGMT - MAINTENANCE & REPAIRS,MITIE FM LTD - 2WM,"£73,419"
02/01/2024,EP CEP RESTART CPA 5C HOME COUNTIES,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,REED IN PARTNERSHIP LTD,"£73,359"
12/01/2024,PCP ESTATES LCW DELP,PPE - POA & AUC (OWNED) - COST - ADDITIONS - OTHER,MITIE FM LTD,"£73,241"
02/01/2024,EP CEP WHP DWP CONTRACTS H COUNT CPA5,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,SHAW TRUST,"£73,011"
18/01/2024,EP CEP WHP DWP CONTRACTS NE ENG CPA2,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,REED IN PARTNERSHIP LTD,"£73,011"
30/01/2024,PCP ESTATES LCW DELP,EXP - PURCHASE OF GOODS/SERVICES - ACCOMM &BLDNG MNGMT - FM PROJECTS NON CAPITAL,MORRIS & SPOTTISWOOD,"£72,982"
31/01/2024,EP CEP RESTART CPA 5A CENTRAL & WEST LONDON,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,INGEUS UK LTD,"£72,890"
26/01/2024,EP CEP PIONEER DEV. CONTRACTS CPA 9A LONDON SOUTH,EXP - CURRENT GRANTS TO LOCAL GOVERNMENT,LONDON BOROUGH OF CROYDON,"£72,419"
05/01/2024,EP CEP RESTART CPA 3A NORTH WEST,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,G4S FACILITIES MANAGEMENT (UK) LTD,"£71,926"
02/01/2024,CHG DWP RE-IMAGINE,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,IBM UNITED KINGDOM LTD,"£71,911"
04/01/2024,FG CD STRATEGY AND BUSINESS MANAGEMENT,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,ALEXANDER MANN SOLUTIONS LTD-2WM,"£71,816"
04/01/2024,DIG DIGITAL UC LEEDS DEL P,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,ALEXANDER MANN SOLUTIONS LTD-2WM,"£71,210"
15/01/2024,DIG INTEGRATION EXTERNAL EVENTS SERVICE,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,OPENCAST SOFTWARE EUROPE LIMITED,"£70,600"
15/01/2024,CHG FAS IT,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,ATOS ORIGIN IT SERVICES UK LTD,"£70,520"
04/01/2024,EP CEP RESTART CPA 3B GREATER MANCHESTER,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,INGEUS UK LTD,"£70,283"
29/01/2024,PCP ESTATES LSS DELP,EXP - PURCHASE OF GOODS/SERVICES -ACCOMM & BLDNG MGMT - MAINTENANCE & REPAIRS,MITIE FM LTD - 2WM,"£70,194"
31/01/2024,DIG ON PREMISES HOSTING REFRESH,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,CDW LTD,"£70,045"
31/01/2024,FG CD STRATEGY AND BUSINESS MANAGEMENT,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,ALEXANDER MANN SOLUTIONS LTD-2WM,"£69,743"
17/01/2024,P&C SYNERGY,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROF SERVICES - COURT FEES,DLA PIPER UK LLP,"£69,432"
05/01/2024,WWEG CEP IPES CPA 2 NORTH EAST ENGLAND,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,REED IN PARTNERSHIP LTD,"£69,218"
03/01/2024,DIG WORKPLACE COMPUTING SERVICE DEL P,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - EQUIPMENT,CDW LTD,"£68,958"
31/01/2024,EP CEP RESTART CPA 5C HOME COUNTIES,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,REED IN PARTNERSHIP LTD,"£68,845"
11/01/2024,PCP ESTATES LCW DELA,PPE - POA & AUC (OWNED) - COST - ADDITIONS - PLANT & MACHINERY,MITIE PROPERTY SERVICES UK LTD,"£68,629"
19/01/2024,FG ESRM ENTERPRISE SECURITY AND RISK MANAGEMENT,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,NCC GROUP SECURITY SERVICES LTD,"£68,588"
02/01/2024,FG CS HS HDAS PASSTHROUGH,EXP - PURCHASE OF GOODS/SERVICES - MEDICAL - FIXED COSTS,CENTRE FOR HEALTH & DISABILITY ASSESSMENTS LTD,"£68,566"
25/01/2024,FG CD STRATEGY AND BUSINESS MANAGEMENT,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,ALEXANDER MANN SOLUTIONS LTD-2WM,"£68,425"
30/01/2024,CHG SM PMO,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROF SERVICES - NON-ADVISORY,BRAMBLE HUB LTD,"£67,914"
16/01/2024,CHG FAS IT,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING CONTACT CENTRES,BT GLOBAL SERVICES,"£67,905"
05/01/2024,EP CEP WHP DWP CONTRACTS NW ENG CPA3,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,INGEUS UK LTD,"£67,456"
25/01/2024,DIG NETWORK RESOURCES DELP,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,ALEXANDER MANN SOLUTIONS LTD-2WM,"£67,366"
15/01/2024,DIG DSP CHADS PROJECT SUPPORT,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,BEDIGITAL,"£67,150"
25/01/2024,OPS OPP PLANNING & PERFORMANCE DIRECTOR,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROF SERVICES - NON-ADVISORY,PA CONSULTING SERVICES LTD,"£67,117"
15/01/2024,PCP ESTATES INVESTMENT PROJECTS DELA,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROF SERVICES - NON-ADVISORY,MCBAINS LTD,"£67,009"
17/01/2024,EP CEP RESTART CPA 5A CENTRAL & WEST LONDON,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,INGEUS UK LTD,"£66,871"
02/01/2024,FG FIN CONT REPORTING & PRODUCTION TEAM,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,CAPGEMINI UK PLC,"£66,868"
05/01/2024,EP CEP WHP DWP CONTRACTS WALES CPA6,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,MAXIMUS UK SERVICES LTD,"£66,662"
05/01/2024,EP CEP WHP DWP CONTRACTS NW ENG CPA3,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,INGEUS UK LTD,"£66,662"
17/01/2024,DIG NETWORK ACCESS SERVICE,AI - PFI - RENTALS UNDER NON-PFI OPERATING LEASES - P&M - CONNECTIVITY,BT GLOBAL SERVICES,"£66,531"
11/01/2024,DIG IDENTITY SERVICE,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,CAVENDISH WOOD LTD,"£66,500"
29/01/2024,CHG HEALTH ASSESSMENT SERVICE,EXP - PURCHASE OF GOODS/SERVICES - CLINICAL & MEDICAL,ADVANCED PERSONNEL MANAGEMENT GROUP UK LTD,"£66,499"
05/01/2024,EP CEP RESTART CPA 4B SOUTH CENTRAL,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,FEDCAP EMPLOYMENT,"£66,283"
18/01/2024,EP CEP RESTART CPA 6 WALES,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,SERCO LTD,"£66,104"
29/01/2024,DIG B&C - RUN DELP,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,CAPGEMINI UK PLC,"£66,056"
19/01/2024,CHG INTEGRATED SERVICE,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,ALEXANDER MANN SOLUTIONS LTD-2WM,"£65,917"
24/01/2024,DIG HEALTH AND DISABILITY SERVICES RUN DEL P,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,CAPGEMINI UK PLC,"£65,635"
29/01/2024,PCP ESTATES FM DELP,EXP - PURCHASE OF GOODS/SERVICES - ACCOMM & BLDNG MGMT - FURNITURE & FITTINGS,MITIE FM LTD - 2WM,"£65,605"
09/01/2024,OPS CFC RISK & INTELLIGENCE SERVICE,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING SOFTWARE LICENCES,BUREAU VAN DIJK ELECTRONIC PUBLISHING LTD,"£65,595"
09/01/2024,OPS CFC RISK & INTELLIGENCE SERVICE,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING SOFTWARE LICENCES,BUREAU VAN DIJK ELECTRONIC PUBLISHING LTD,"£65,595"
31/01/2024,DIG INTEGRATION - STRATEGIC ARA API GATEWAY DELP,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,IBM UNITED KINGDOM LTD,"£65,514"
04/01/2024,DIG TECH SERVICES SERVICES IN LIEU,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,ALEXANDER MANN SOLUTIONS LTD-2WM,"£65,305"
18/01/2024,EP CEP WHP DWP CONTRACTS WALES CPA6,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,MAXIMUS UK SERVICES LTD,"£65,075"
05/01/2024,EP CEP WHP DWP CONTRACTS CENT ENG CPA1,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,SHAW TRUST,"£65,053"
25/01/2024,CHG FAS IT,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,ALEXANDER MANN SOLUTIONS LTD-2WM,"£65,034"
22/01/2024,STR FIT NOTE,EXP - PURCHASE OF GOODS/SERVICES  - RESEARCH & DEVELOPMENT - OTHER OUTSOURCED - ESA10,OFFICE FOR NATIONAL STATISTIC,"£65,000"
30/01/2024,EP CEP RESTART CPA 5C HOME COUNTIES,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,REED IN PARTNERSHIP LTD,"£64,895"
15/01/2024,P&C MENTAL HEALTH TRAINING,EXP - PURCHASE OF GOODS/SERVICES - TRAINING & DEVELOPMENT,ERNST & YOUNG,"£64,813"
24/01/2024,DIG BASELINE RUN - HEALTH AND DISABILITY DEL P,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,CAPGEMINI UK PLC,"£64,650"
02/01/2024,HR OVERHEADS,CA - DEPOSITS AND ADVANCES - CYCLE TO WORK SCHEME,EDENRED UK GROUP LTD,"£64,640"
31/01/2024,DIG NETWORK RESOURCES DELP,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,ALEXANDER MANN SOLUTIONS LTD-2WM,"£64,627"
12/01/2024,OPS DS ATW DISC EP NATIONAL,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,MAXIMUS UK SERVICES LTD,"£64,310"
05/01/2024,EP CEP WHP DWP CONTRACTS WALES CPA6,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,MAXIMUS UK SERVICES LTD,"£64,281"
08/01/2024,EP CEP RESTART CPA 5A CENTRAL & WEST LONDON,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,INGEUS UK LTD,"£64,196"
19/01/2024,OPS DS ATW DISC EP NATIONAL,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,INGEUS UK LTD,"£64,135"
23/01/2024,CHG GYSP,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,ACCENTURE UK LTD,"£63,754"
17/01/2024,EP CEP RESTART CPA 3B GREATER MANCHESTER,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,INGEUS UK LTD,"£63,525"
03/01/2024,EP CEP RESTART CPA 2B S & W YORKSHIRE DERBYSHIRE & NOTTINGHAMSHIRE,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,MAXIMUS UK SERVICES LTD,"£63,424"
23/01/2024,DIG EDW REMEDIATION,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,SAS SOFTWARE LTD,"£62,967"
24/01/2024,DIG NOTIFICATION SERVICE PROJECT DELP,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,CAPGEMINI UK PLC,"£62,436"
25/01/2024,EP CEP RESTART CPA 6 WALES,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,SERCO LTD,"£62,169"
05/01/2024,CHG GYSP,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,ACCENTURE UK LTD,"£61,916"
25/01/2024,EP CEP WHP DWP CONTRACTS NW ENG CPA3,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,INGEUS UK LTD,"£61,900"
12/01/2024,UCO OUTSOURCED TELEPHONY,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROF SERVICES - INTERPRETATION,DA LANGUAGES LTD,"£61,758"
19/01/2024,CHG UC DESIGN,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,ALEXANDER MANN SOLUTIONS LTD-2WM,"£61,682"
23/01/2024,DIG CHILDREN  - COMMON PLATFORMS,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,TATA CONSULTANCY SERVICES LTD,"£61,404"
18/01/2024,EP CEP RESTART CPA 5C HOME COUNTIES,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,REED IN PARTNERSHIP LTD,"£60,945"
19/01/2024,DIG NOTIFICATION SERVICE TRANSFORMATION DELP,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,ACCENTURE UK LTD,"£60,854"
18/01/2024,OPS CFC DISCRETE BUDGET CONTROL,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - EQUIPMENT,AIRWAVE SOLUTIONS LTD,"£60,346"
15/01/2024,OPS DS ATW DISC EP NATIONAL,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,INGEUS UK LTD,"£60,267"
08/01/2024,OPS PEN PS AA UNIT,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - POSTAGE,ROYAL MAIL GROUP PLC,"£60,248"
17/01/2024,DIG WA SOFTWARE & SERVICES DEL P,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,CYBER SECURITY SPECIALISTS,"£60,192"
02/01/2024,EP CEP RESTART CPA 2A NORTH EAST & HUMBERSIDE,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,REED IN PARTNERSHIP LTD,"£60,147"
24/01/2024,EP CEP RESTART CPA 5C HOME COUNTIES,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,REED IN PARTNERSHIP LTD,"£59,816"
05/01/2024,P&C DWP GENERIC LEARNING,EXP - PURCHASE OF GOODS/SERVICES - TRAINING & DEVELOPMENT,ERNST & YOUNG LLP,"£59,682"
24/01/2024,PCP ESTATES FFE DELP,EXP - PURCHASE OF GOODS/SERVICES - ACCOMM & BLDNG MGMT - FURNITURE & FITTINGS,SOUTHERNS BROADSTOCK LTD-2WM,"£59,652"
17/01/2024,DIG CONTACT CENTRE SERVICE DEL P,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING CONTACT CENTRES,PCI PAL,"£59,520"
04/01/2024,EP CEP RESTART CPA 5A CENTRAL & WEST LONDON,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,INGEUS UK LTD,"£59,515"
17/01/2024,DIG MANAGED LAN,AI - PFI - RENTALS UNDER NON-PFI OPERATING LEASES - P&M - CONNECTIVITY,BT GLOBAL SERVICES,"£59,436"
18/01/2024,CHG MATT COSTS,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,ACCENTURE UK LTD,"£59,028"
08/01/2024,SE SPD DDMS,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - POSTAGE,ROYAL MAIL GROUP PLC,"£58,885"
05/01/2024,DIG ACCESSIBILITY SERVICE,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING SOFTWARE MAIN & SUP,COMPUTACENTER UK LTD,"£58,816"
05/01/2024,EP CEP WHP DWP CONTRACTS H COUNT CPA5,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,SHAW TRUST,"£58,726"
22/01/2024,PCP ESTATES LLM DELP,EXP - PURCHASE OF GOODS/SERVICES - ACCOMMODATION & BLDNG MANAGEMENT,CUSHMAN & WAKEFIELD DEBENHAM TIE LEUNG LTD-2WM,"£58,550"
02/01/2024,EP CEP RESTART CPA 5A CENTRAL & WEST LONDON,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,INGEUS UK LTD,"£58,178"
23/01/2024,CMG OPERATIONAL MGMT,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,TATA CONSULTANCY SERVICES LTD,"£58,051"
04/01/2024,EP CEP RESTART CPA 1B EAST CENTRAL,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,JOBS 22 LTD,"£57,997"
02/01/2024,EP CEP RESTART CPA 5B SOUTH & EAST LONDON,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,MAXIMUS UK SERVICES LTD,"£57,962"
25/01/2024,DIG DIGITAL UC LEEDS DEL P,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,ALEXANDER MANN SOLUTIONS LTD-2WM,"£57,718"
26/01/2024,CHG FES WORK MANAGEMENT,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,IBM UNITED KINGDOM LTD,"£57,656"
16/01/2024,STR CHANGE WAB,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,CAPITA BUSINESS SERVICES LTD,"£57,391"
25/01/2024,EP CEP RESTART CPA 5B SOUTH & EAST LONDON,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,MAXIMUS UK SERVICES LTD,"£57,303"
23/01/2024,DIG PUBLIC CLOUD DEL P,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,ADVANIA,"£57,288"
12/01/2024,OPS DS ATW DISC EP NATIONAL,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,INGEUS UK LTD,"£57,184"
11/01/2024,EP CEP WHP DWP CONTRACTS S ENG CPA4,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,SEETEC PLUSS LTD,"£57,139"
05/01/2024,DIG SDX REFRESH,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,CYBERNETICA SOLUTIONS LTD,"£56,925"
24/01/2024,CHG INTEGRATED SERVICE,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,CAPGEMINI UK PLC,"£56,730"
25/01/2024,DIG - WIFI REFRESH DEL P,PPE - INFORMATION TECHNOLOGY (OWNED) - COST - ADDITIONS,SOFTCAT PLC,"£56,636"
04/01/2024,CHG FAS IT,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,ALEXANDER MANN SOLUTIONS LTD-2WM,"£55,628"
25/01/2024,EP CEP WHP DWP CONTRACTS CENT ENG CPA1,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,SHAW TRUST,"£55,552"
05/01/2024,OPS SE DRS UC FS ATLANTIC QUAY,EXP - PURCHASE OF GOODS/SERVICES - OTHER - NORTHERN IRELAND STAFF COSTS,DEPARTMENT FOR COMMUNITIES,"£55,522"
24/01/2024,DIG ECMS PROJECT,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,CAPGEMINI UK PLC,"£55,476"
15/01/2024,CHG FAS IT,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,ATOS ORIGIN IT SERVICES UK LTD,"£55,442"
11/01/2024,EP CEP RESTART CPA 4A SOUTH WEST,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,SEETEC PLUSS LTD,"£55,359"
25/01/2024,PCP ESTATES SUSTAINABILITY DELP,EXP - PURCHASE OF GOODS/SERVICES - ACCOMM &BLDNG MNGMT - FM PROJECTS NON CAPITAL,MORRIS & SPOTTISWOOD,"£55,029"
29/01/2024,CASD ANALYTICAL COMMUNITY,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROF SERVICES - ORIGINAL RESEARCH,IPSOS MORI,"£55,000"
23/01/2024,EP CEP RESTART CPA 3B GREATER MANCHESTER,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,INGEUS UK LTD,"£54,740"
25/01/2024,EP CEP RESTART CPA 4A SOUTH WEST,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,SEETEC PLUSS LTD,"£54,640"
23/01/2024,DIG RBC - RUN & MAINTAIN COSTS DEL P,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,ACCENTURE UK LTD,"£54,627"
05/01/2024,DIG PUBLIC CLOUD DEL P,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,ADVANIA,"£54,569"
12/01/2024,PCP ESTATES CSI PROJECT DELP,PPE - POA & AUC (OWNED) - COST - ADDITIONS - OTHER,MITIE FM LTD,"£54,545"
09/01/2024,STR CHANGE WAB,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,REED IN PARTNERSHIP LTD,"£54,470"
11/01/2024,CHG SERVICE MODERNISATION DIRECTORATE,Exp - Purchase Of Goods/Services - Consultancy,GARTNER,"£54,400"
23/01/2024,CHG CHILD MAINTENANCE,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,TATA CONSULTANCY SERVICES LTD,"£54,097"
