Ref,Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction number,Amount
442,CAB,Government Property Agency,31-Dec-24,Rent Expenditure,Landlord Services,00000104-Derwent Valley Central Ltd,699921-186,"96,881.38"
443,CAB,Government Property Agency,31-Dec-24,Rent Expenditure,Landlord Services,00000696-Workman LLP Client Common Receipts A/c No.4,699671-849,"95,739.02"
444,CAB,Government Property Agency,31-Dec-24,Variable FM Expenditure - Full Building Recharge,Workplace Services,00000840-ISS Facility Services Limited,724756-13,"95,048.52"
445,CAB,Government Property Agency,02-Dec-24,PPE - AUC Additions,PPE Additions,00000288-Kier Facilities Services Ltd,3195360,"93,269.71"
446,CAB,Government Property Agency,23-Dec-24,PPE - AUC Additions,PPE Additions,00000288-Kier Facilities Services Ltd,3614520,"93,119.10"
447,CAB,Government Property Agency,11-Dec-24,Professional Services Expenditure,Other Operating Expenditure,00000697-Methods,3267480,"92,773.20"
448,CAB,Government Property Agency,31-Dec-24,Variable FM Expenditure - Full Building Recharge,Workplace Services,00000207-ISS Mediclean Ltd,724762-19,"92,344.13"
449,CAB,Government Property Agency,02-Dec-24,PPE - AUC Additions,PPE Additions,00000619-Swift Strategies Limited,3193692,"91,684.86"
450,CAB,Government Property Agency,31-Dec-24,Rent Expenditure,Landlord Services,10000037-Carter Jonas LLP,699921-10,"88,275.86"
451,CAB,Government Property Agency,31-Dec-24,Operational Security Expenditure - Full Building Recharge,Workplace Services,00000841-G4S Secure Solutions (UK) Ltd,724234-15,"88,194.06"
452,CAB,Government Property Agency,31-Dec-24,Fixed FM Expenditure - Full Building Recharge,Workplace Services,00000020-Mitie FM Limited,726488-3,"87,908.00"
453,CAB,Government Property Agency,31-Dec-24,Fixed FM Expenditure - Full Building Recharge,Workplace Services,00000840-ISS Facility Services Limited,724789-15,"87,301.00"
454,CAB,Government Property Agency,31-Dec-24,Utilities Expenditure,Landlord Services,00000085-EDF Energy,726749-129,"86,467.12"
455,CAB,Government Property Agency,31-Dec-24,Fixed FM Expenditure - Full Building Recharge,Workplace Services,00000207-ISS Mediclean Ltd,726488-24,"86,325.70"
456,CAB,Government Property Agency,11-Dec-24,Transformational Services Expenditure,Capital Projects,00000670-BAE Systems plc,3267425,"85,287.00"
457,CAB,Government Property Agency,31-Dec-24,Rates Expenditure,Landlord Services,00000377-Bristol City Council,718715-181,"85,176.00"
458,CAB,Government Property Agency,06-Dec-24,PPE - AUC Additions,PPE Additions,10000052-Atalian Servest Ltd,3224009,"84,791.81"
459,CAB,Government Property Agency,31-Dec-24,Fixed FM Expenditure - Full Building Recharge,Workplace Services,00000840-ISS Facility Services Limited,726479-3,"84,136.51"
460,CAB,Government Property Agency,31-Dec-24,Variable FM Expenditure - Full Building Recharge,Workplace Services,00000207-ISS Mediclean Ltd,723587-51,"84,107.65"
461,CAB,Government Property Agency,31-Dec-24,Head Lease Service Charge Expenditure,Landlord Services,00000071-HM Revenue & Customs,712043-32,"84,031.30"
462,CAB,Government Property Agency,31-Dec-24,Head Lease Service Charge Expenditure,Landlord Services,00000071-HM Revenue & Customs,712043-266,"83,434.70"
463,CAB,Government Property Agency,11-Dec-24,Transformational Services Expenditure,Capital Projects,10000145-Gleeds Cost Management Limited,3250851,"82,749.85"
464,CAB,Government Property Agency,31-Dec-24,Rates Expenditure,Landlord Services,00000024-City of Westminster,718715-18,"82,636.00"
465,CAB,Government Property Agency,31-Dec-24,Operational Security Expenditure - Full Building Recharge,Workplace Services,00000841-G4S Secure Solutions (UK) Ltd,726218-6,"82,394.86"
466,CAB,Government Property Agency,31-Dec-24,Non Onboarded Workplace Services Expenditure,Workplace Services,00000840-ISS Facility Services Limited,727592-103,"81,565.92"
467,CAB,Government Property Agency,20-Dec-24,PPE - AUC Additions,PPE Additions,00000819-FES Support Services Ltd,3609514,"81,207.65"
468,CAB,Government Property Agency,31-Dec-24,PFI Variation Charge Expenditure,Landlord Services,00000565-AGP,726491-3,"81,106.85"
469,CAB,Government Property Agency,31-Dec-24,Operational Security Expenditure - Full Building Recharge,Workplace Services,00000841-G4S Secure Solutions (UK) Ltd,727646-12,"80,756.29"
470,CAB,Government Property Agency,31-Dec-24,Rent Expenditure,Landlord Services,00000848-Ashdown Phillips RENT AC,700197-886,"80,275.86"
471,CAB,Government Property Agency,03-Dec-24,PPE - AUC Additions,PPE Additions,10000064-E.W. Beard Limited,3208855,"80,016.07"
472,CAB,Government Property Agency,09-Dec-24,PPE - AUC Additions,PPE Additions,00000527-Cinos Limited,3225493,"79,684.34"
473,CAB,Government Property Agency,31-Dec-24,PFI Variation Charge Expenditure,Landlord Services,00000565-AGP,726497-3,"79,642.90"
474,CAB,Government Property Agency,31-Dec-24,Rent Expenditure,Landlord Services,00000344-Secretary of State for Defence,704805-37,"78,565.61"
475,CAB,Government Property Agency,31-Dec-24,Fixed FM Expenditure - Full Building Recharge,Workplace Services,10000052-Atalian Servest Ltd,727616-153,"78,015.66"
476,CAB,Government Property Agency,31-Dec-24,Utilities Expenditure,Landlord Services,00000085-EDF Energy,726749-228,"77,945.59"
477,CAB,Government Property Agency,31-Dec-24,Operational Security Expenditure - Full Building Recharge,Workplace Services,00000841-G4S Secure Solutions (UK) Ltd,725641-54,"77,746.25"
478,CAB,Government Property Agency,09-Dec-24,PPE - AUC Additions,PPE Additions,00000513-Logan Construction,3224935,"77,527.05"
479,CAB,Government Property Agency,02-Dec-24,PPE - AUC Additions,PPE Additions,10000145-Gleeds Cost Management Limited,3193990,"77,368.96"
480,CAB,Government Property Agency,10-Dec-24,Transformational Services Expenditure,Capital Projects,00000601-Atkins Limited,3250740,"76,141.14"
481,CAB,Government Property Agency,31-Dec-24,Rent Expenditure,Landlord Services,00000306-APAM (Rent),700197-133,"75,968.08"
482,CAB,Government Property Agency,31-Dec-24,Rent Expenditure,Landlord Services,10000014-PIC Real Estate (Ruskin Square) LP,699921-908,"75,711.38"
483,CAB,Government Property Agency,03-Dec-24,PPE - AUC Additions,PPE Additions,00000288-Kier Facilities Services Ltd,3207323,"74,966.13"
484,CAB,Government Property Agency,31-Dec-24,Rent Expenditure,Landlord Services,00000384-CBRE Ltd - Client A/C,699921-386,"74,650.69"
485,CAB,Government Property Agency,31-Dec-24,Fixed FM Expenditure - Full Building Recharge,Workplace Services,00000207-ISS Mediclean Ltd,723667-3,"74,180.79"
486,CAB,Government Property Agency,31-Dec-24,Fixed FM Expenditure - Full Building Recharge,Workplace Services,00000207-ISS Mediclean Ltd,725611-3,"74,180.79"
487,CAB,Government Property Agency,31-Dec-24,Fixed FM Expenditure - Full Building Recharge,Workplace Services,00000207-ISS Mediclean Ltd,725611-9,"74,180.79"
488,CAB,Government Property Agency,31-Dec-24,Utilities Expenditure,Landlord Services,00000085-EDF Energy,726749-185,"74,154.34"
489,CAB,Government Property Agency,17-Dec-24,PPE - AUC Additions,PPE Additions,00000754-Tilbury Douglas Construction,3588481,"73,845.74"
490,CAB,Government Property Agency,31-Dec-24,Rent Expenditure,Landlord Services,00000025-AMAS Ltd (rent and SC - MAIN JLL account),P9 Man 16,"72,918.27"
491,CAB,Government Property Agency,31-Dec-24,Fixed FM Expenditure - Full Building Recharge,Workplace Services,00000840-ISS Facility Services Limited,724789-42,"72,900.00"
492,CAB,Government Property Agency,20-Dec-24,PPE - AUC Additions,PPE Additions,00000157-Stone Group,3609884,"72,596.57"
493,CAB,Government Property Agency,10-Dec-24,Professional Services Expenditure,Other Operating Expenditure,10000145-Gleeds Cost Management Limited,3244356,"72,486.44"
494,CAB,Government Property Agency,31-Dec-24,Utilities Expenditure,Landlord Services,00000655-TotalEnergies Gas & Power,P9 Man 208,"72,145.91"
495,CAB,Government Property Agency,18-Dec-24,PPE - AUC Additions,PPE Additions,00000819-FES Support Services Ltd,3602351,"72,006.08"
496,CAB,Government Property Agency,31-Dec-24,Rent Expenditure,Landlord Services,00000859-Isambard Estates Limited,699671-1011,"70,689.66"
497,CAB,Government Property Agency,16-Dec-24,Professional Services Expenditure,Other Operating Expenditure,10000076-e-Zest Solutions Limited,3467145,"70,599.00"
498,CAB,Government Property Agency,16-Dec-24,PPE - AUC Additions,PPE Additions,10000076-e-Zest Solutions Limited,3467143,"70,599.00"
499,CAB,Government Property Agency,31-Dec-24,Fixed FM Expenditure - Full Building Recharge,Workplace Services,00000840-ISS Facility Services Limited,725926-21,"70,382.82"
500,CAB,Government Property Agency,13-Dec-24,PPE - AUC Additions,PPE Additions,00000197-Faithful + Gould Limited,3342214,"70,362.00"
501,CAB,Government Property Agency,31-Dec-24,Rent Expenditure,Landlord Services,00000696-Workman LLP Client Common Receipts A/c No.4,699921-455,"69,665.85"
502,CAB,Government Property Agency,31-Dec-24,Head Lease Service Charge Expenditure,Landlord Services,00000015-20 Cabot Square I TrusteeNo.1&No.2 Ltd &Canary Wha,699921-62,"69,219.88"
503,CAB,Government Property Agency,31-Dec-24,Rent Expenditure,Landlord Services,00000634-Equitix Cheylesmore 2021 LLP,699930-310,"68,965.52"
504,CAB,Government Property Agency,06-Dec-24,PPE - AUC Additions,PPE Additions,00000197-Faithful + Gould Limited,3222855,"68,526.19"
505,CAB,Government Property Agency,31-Dec-24,Head Lease Service Charge Expenditure,Landlord Services,00000312-M J Mapp Ltd,726797-11,"68,300.11"
506,CAB,Government Property Agency,31-Dec-24,Head Lease Service Charge Expenditure,Landlord Services,00000312-M J Mapp Ltd,726797-7,"68,300.11"
507,CAB,Government Property Agency,11-Dec-24,PPE - AUC Additions,PPE Additions,00000288-Kier Facilities Services Ltd,3267453,"67,581.92"
508,CAB,Government Property Agency,31-Dec-24,Rent Expenditure,Landlord Services,00000303-Savills (RC's Rent & SC),700197-10,"67,233.79"
509,CAB,Government Property Agency,31-Dec-24,Rent Expenditure,Landlord Services,00000312-M J Mapp Ltd,700197-510,"67,127.59"
510,CAB,Government Property Agency,31-Dec-24,Rent Expenditure,Landlord Services,00000119-Avison Young (GVA Grimley) - RC's & utilities,P9 Man 64,"66,644.71"
511,CAB,Government Property Agency,31-Dec-24,Rent Expenditure,Landlord Services,00000071-HM Revenue & Customs,712043-95,"66,211.46"
512,CAB,Government Property Agency,31-Dec-24,Operational Security Expenditure - Full Building Recharge,Workplace Services,00000841-G4S Secure Solutions (UK) Ltd,724210-6,"66,124.06"
513,CAB,Government Property Agency,31-Dec-24,Digital and Technology Services Expenditure - CR,Workplace Services,00000625-Centerprise International Limited,P9 Man 198,"65,614.32"
514,CAB,Government Property Agency,31-Dec-24,Rates Expenditure,Landlord Services,00000071-HM Revenue & Customs,712044-26,"65,496.84"
515,CAB,Government Property Agency,24-Dec-24,PPE - AUC Additions,PPE Additions,00000619-Swift Strategies Limited,3614669,"65,340.00"
516,CAB,Government Property Agency,31-Dec-24,Operational Security Expenditure - Full Building Recharge,Workplace Services,00000841-G4S Secure Solutions (UK) Ltd,724210-3,"65,194.60"
517,CAB,Government Property Agency,02-Dec-24,PPE - AUC Additions,PPE Additions,00000509-Morris & Spottiswood Limited,3193875,"64,446.17"
518,CAB,Government Property Agency,31-Dec-24,Operational Security Expenditure - Client Requested,Workplace Services,00000841-G4S Secure Solutions (UK) Ltd,724246-3,"64,380.54"
519,CAB,Government Property Agency,31-Dec-24,Variable FM Expenditure - Full Building Recharge,Workplace Services,00000016-Jones Lang LaSalle JLL,728222-6,"63,925.39"
520,CAB,Government Property Agency,31-Dec-24,Rent Expenditure,Landlord Services,00000727-GMPF Soapworks Estates Management for GMPF,700197-626,"63,321.93"
521,CAB,Government Property Agency,31-Dec-24,Rates Expenditure,Landlord Services,00000071-HM Revenue & Customs,712043-50,"63,304.09"
522,CAB,Government Property Agency,13-Dec-24,Intangible Assets - AUC Additions,Intangible Asset Additions,00000721-Planon Limited,3437301,"62,920.80"
523,CAB,Government Property Agency,02-Dec-24,Workplace Projects Expenditure L5,Workplace Projects Expenditure,00000288-Kier Facilities Services Ltd,3192460,"62,582.27"
524,CAB,Government Property Agency,11-Dec-24,PPE - AUC Additions,PPE Additions,00000288-Kier Facilities Services Ltd,3267384,"62,130.59"
525,CAB,Government Property Agency,17-Dec-24,Transformational Services Expenditure,Capital Projects,00000279-Turner and Townsend Project Management Limited,3589152,"61,680.00"
526,CAB,Government Property Agency,13-Dec-24,Intangible Assets - AUC Additions,Intangible Asset Additions,00000721-Planon Limited,3437307,"61,636.80"
527,CAB,Government Property Agency,11-Dec-24,PPE - AUC Additions,PPE Additions,00000509-Morris & Spottiswood Limited,3267458,"61,597.92"
528,CAB,Government Property Agency,17-Dec-24,Transformational Services Expenditure,Capital Projects,00000841-G4S Secure Solutions (UK) Ltd,3589137,"61,283.88"
529,CAB,Government Property Agency,31-Dec-24,Head Lease Service Charge Expenditure,Landlord Services,00000071-HM Revenue & Customs,712043-113,"61,167.49"
530,CAB,Government Property Agency,31-Dec-24,Rates Expenditure,Landlord Services,00000117-Sheffield City Council,718715-241,"61,152.00"
531,CAB,Government Property Agency,31-Dec-24,Variable FM Expenditure - Client Requested,Workplace Services,10000052-Atalian Servest Ltd,723943-6,"60,938.48"
532,CAB,Government Property Agency,31-Dec-24,Rates Expenditure,Landlord Services,00000071-HM Revenue & Customs,P9 Man 33,"60,800.97"
533,CAB,Government Property Agency,31-Dec-24,Fixed FM Expenditure - Full Building Recharge,Workplace Services,00000840-ISS Facility Services Limited,723577-105,"60,311.75"
534,CAB,Government Property Agency,31-Dec-24,Rent Expenditure,Landlord Services,00000814-Heywood & Partners,728208-160,"60,277.78"
535,CAB,Government Property Agency,13-Dec-24,PPE - AUC Additions,PPE Additions,00000157-Stone Group,3437225,"60,123.68"
536,CAB,Government Property Agency,31-Dec-24,Head Lease Service Charge Expenditure,Landlord Services,00000071-HM Revenue & Customs,712043-230,"59,570.07"
537,CAB,Government Property Agency,09-Dec-24,PPE - AUC Additions,PPE Additions,00000431-M4 Digital Group Limited,3225551,"59,550.00"
538,CAB,Government Property Agency,31-Dec-24,PFI Variation Charge Expenditure,Landlord Services,00000565-AGP,726773-22,"59,340.96"
539,CAB,Government Property Agency,31-Dec-24,Rent Expenditure,Landlord Services,00000501-WEWORK,706019-16,"59,131.60"
540,CAB,Government Property Agency,31-Dec-24,Utilities Expenditure,Landlord Services,00000085-EDF Energy,726749-224,"58,733.22"
541,CAB,Government Property Agency,31-Dec-24,Rates Expenditure,Landlord Services,00000117-Sheffield City Council,718715-485,"58,422.00"
542,CAB,Government Property Agency,31-Dec-24,Rates Expenditure,Landlord Services,00000117-Sheffield City Council,718715-563,"58,422.00"
543,CAB,Government Property Agency,31-Dec-24,Utilities Expenditure,Landlord Services,00000085-EDF Energy,726749-35,"58,395.49"
544,CAB,Government Property Agency,31-Dec-24,Rent Expenditure,Landlord Services,10000143-Sunstone Investments Limited,724482-133,"57,846.95"
545,CAB,Government Property Agency,20-Dec-24,Professional Services Expenditure,Other Operating Expenditure,10000145-Gleeds Cost Management Limited,3609787,"57,524.30"
546,CAB,Government Property Agency,31-Dec-24,Rates Expenditure,Landlord Services,00000042-Birmingham City Council,P9 Man 21,"57,195.00"
547,CAB,Government Property Agency,31-Dec-24,Rent Expenditure,Landlord Services,10000021-Eastbrook Facilities Limited,699671-94,"56,871.38"
548,CAB,Government Property Agency,05-Dec-24,PPE - AUC Additions,PPE Additions,00000016-Jones Lang LaSalle JLL,3222638,"56,640.00"
549,CAB,Government Property Agency,31-Dec-24,Rates Expenditure,Landlord Services,00000047-London Borough of Tower Hamlets,718715-140,"56,600.00"
550,CAB,Government Property Agency,09-Dec-24,PPE - AUC Additions,PPE Additions,00000527-Cinos Limited,3225490,"56,400.76"
551,CAB,Government Property Agency,03-Dec-24,PPE - AUC Additions,PPE Additions,00000288-Kier Facilities Services Ltd,3208850,"56,154.41"
552,CAB,Government Property Agency,31-Dec-24,Non Onboarded Workplace Services Expenditure,Workplace Services,00000840-ISS Facility Services Limited,727592-25,"55,769.45"
553,CAB,Government Property Agency,04-Dec-24,PPE - AUC Additions,PPE Additions,00000197-Faithful + Gould Limited,3220763,"55,563.43"
554,CAB,Government Property Agency,31-Dec-24,Rent Expenditure,Landlord Services,00000071-HM Revenue & Customs,712043-212,"55,542.04"
555,CAB,Government Property Agency,31-Dec-24,Fixed FM Expenditure - Full Building Recharge,Workplace Services,00000840-ISS Facility Services Limited,727592-100,"55,443.00"
556,CAB,Government Property Agency,31-Dec-24,Rent Expenditure,Landlord Services,00000710-Bellrock,699921-286,"54,643.76"
557,CAB,Government Property Agency,31-Dec-24,Rent Expenditure,Landlord Services,00000071-HM Revenue & Customs,712043-68,"54,470.40"
558,CAB,Government Property Agency,02-Dec-24,PPE - AUC Additions,PPE Additions,00000619-Swift Strategies Limited,3193958,"53,812.38"
559,CAB,Government Property Agency,31-Dec-24,Fixed FM Expenditure - Full Building Recharge,Workplace Services,10000052-Atalian Servest Ltd,727646-274,"53,704.86"
560,CAB,Government Property Agency,13-Dec-24,Intangible Assets - AUC Additions,Intangible Asset Additions,00000721-Planon Limited,3437298,"53,534.40"
561,CAB,Government Property Agency,31-Dec-24,Fixed FM Expenditure - Full Building Recharge,Workplace Services,00000207-ISS Mediclean Ltd,723667-15,"53,361.14"
562,CAB,Government Property Agency,31-Dec-24,Fixed FM Expenditure - Full Building Recharge,Workplace Services,00000207-ISS Mediclean Ltd,725611-24,"53,361.14"
563,CAB,Government Property Agency,31-Dec-24,Fixed FM Expenditure - Full Building Recharge,Workplace Services,00000207-ISS Mediclean Ltd,725611-30,"53,361.14"
564,CAB,Government Property Agency,31-Dec-24,Rent Expenditure,Landlord Services,10000014-PIC Real Estate (Ruskin Square) LP,728224-384,"53,349.24"
565,CAB,Government Property Agency,31-Dec-24,Rent Expenditure,Landlord Services,10000014-PIC Real Estate (Ruskin Square) LP,728224-424,"53,287.21"
566,CAB,Government Property Agency,31-Dec-24,Fixed FM Expenditure - Full Building Recharge,Workplace Services,00000840-ISS Facility Services Limited,723577-123,"53,205.56"
567,CAB,Government Property Agency,31-Dec-24,Fixed FM Expenditure - Full Building Recharge,Workplace Services,10000052-Atalian Servest Ltd,724732-235,"52,956.67"
568,CAB,Government Property Agency,31-Dec-24,Fixed FM Expenditure - Full Building Recharge,Workplace Services,10000052-Atalian Servest Ltd,724792-235,"52,956.67"
569,CAB,Government Property Agency,13-Dec-24,Intangible Assets - AUC Additions,Intangible Asset Additions,00000721-Planon Limited,3437310,"52,878.72"
570,CAB,Government Property Agency,31-Dec-24,Rates Expenditure,Landlord Services,00000256-Coventry City Council,718715-650,"52,689.00"
571,CAB,Government Property Agency,31-Dec-24,Operational Security Expenditure - Full Building Recharge,Workplace Services,00000841-G4S Secure Solutions (UK) Ltd,727646-30,"52,583.76"
572,CAB,Government Property Agency,31-Dec-24,Operational Security Expenditure - Full Building Recharge,Workplace Services,00000841-G4S Secure Solutions (UK) Ltd,727646-9,"52,492.66"
573,CAB,Government Property Agency,19-Dec-24,ICT Expenditure,Other Operating Expenditure,00000815-Panlogic Limited,3608474,"52,440.00"
574,CAB,Government Property Agency,31-Dec-24,Rent Expenditure,Landlord Services,00000529-Hermes Wellington Place GP Limited,700197-470,"52,351.45"
575,CAB,Government Property Agency,31-Dec-24,Rent Expenditure,Landlord Services,00000303-Savills (RC's Rent & SC),699921-764,"51,874.28"
576,CAB,Government Property Agency,20-Dec-24,Workplace Projects Expenditure L5,Workplace Projects Expenditure,00000080-Arcadis (UK) Ltd,3609488,"51,466.61"
577,CAB,Government Property Agency,18-Dec-24,PPE - AUC Additions,PPE Additions,00000819-FES Support Services Ltd,3602358,"51,255.72"
578,CAB,Government Property Agency,11-Dec-24,Professional Services Expenditure,Other Operating Expenditure,00000856-WSP UK Ltd,3267341,"51,235.00"
579,CAB,Government Property Agency,31-Dec-24,Rates Expenditure,Landlord Services,00000766-Peterborough City Council,718715-545,"51,051.00"
580,CAB,Government Property Agency,31-Dec-24,Rent Expenditure,Landlord Services,00000303-Savills (RC's Rent & SC),699921-744,"50,992.83"
581,CAB,Government Property Agency,17-Dec-24,Transformational Services Expenditure,Capital Projects,00000197-Faithful + Gould Limited,3589146,"50,816.55"
582,CAB,Government Property Agency,31-Dec-24,Rent Expenditure,Landlord Services,00000303-Savills (RC's Rent & SC),699921-784,"50,621.79"
583,CAB,Government Property Agency,31-Dec-24,Head Lease Service Charge Expenditure,Landlord Services,00000164-Ministry of Justice (All invoices),717898-6,"50,552.22"
584,CAB,Government Property Agency,31-Dec-24,Rent Expenditure,Landlord Services,00000303-Savills (RC's Rent & SC),699921-724,"50,279.86"
585,CAB,Government Property Agency,31-Dec-24,PPE - AUC Additions,PPE Additions,00000288-Kier Facilities Services Ltd,3618606,"50,190.46"
586,CAB,Government Property Agency,31-Dec-24,Rent Expenditure,Landlord Services,00000303-Savills (RC's Rent & SC),699921-560,"50,155.17"
587,CAB,Government Property Agency,31-Dec-24,Operational Security Expenditure - Full Building Recharge,Workplace Services,00000841-G4S Secure Solutions (UK) Ltd,724234-24,"49,852.29"
588,CAB,Government Property Agency,31-Dec-24,Fixed FM Expenditure - Full Building Recharge,Workplace Services,00000207-ISS Mediclean Ltd,724756-16,"49,842.17"
589,CAB,Government Property Agency,31-Dec-24,Rates Expenditure,Landlord Services,00000044- Manchester City Council,718715-518,"49,703.00"
590,CAB,Government Property Agency,31-Dec-24,Fixed FM Expenditure - Full Building Recharge,Workplace Services,10000052-Atalian Servest Ltd,727616-174,"49,612.00"
591,CAB,Government Property Agency,31-Dec-24,Rent Expenditure,Landlord Services,00000303-Savills (RC's Rent & SC),699921-804,"49,458.07"
592,CAB,Government Property Agency,31-Dec-24,Utilities Expenditure,Landlord Services,00000085-EDF Energy,726749-54,"49,321.97"
593,CAB,Government Property Agency,03-Dec-24,PPE - AUC Additions,PPE Additions,00000431-M4 Digital Group Limited,3209211,"49,320.00"
594,CAB,Government Property Agency,31-Dec-24,Fixed FM Expenditure - Full Building Recharge,Workplace Services,00000840-ISS Facility Services Limited,724789-69,"49,118.00"
595,CAB,Government Property Agency,31-Dec-24,Rates Expenditure,Landlord Services,00000635-South Lanarkshire Council,718715-401,"49,080.00"
596,CAB,Government Property Agency,31-Dec-24,Rent Expenditure,Landlord Services,10000106-Torbay Council,699671-1074,"48,620.69"
597,CAB,Government Property Agency,02-Dec-24,PPE - AUC Additions,PPE Additions,00000288-Kier Facilities Services Ltd,3195191,"48,558.26"
598,CAB,Government Property Agency,02-Dec-24,PPE - AUC Additions,PPE Additions,00000288-Kier Facilities Services Ltd,3195355,"48,430.25"
599,CAB,Government Property Agency,18-Dec-24,PPE - AUC Additions,PPE Additions,00000288-Kier Facilities Services Ltd,3601671,"48,430.25"
600,CAB,Government Property Agency,31-Dec-24,Operational Security Expenditure - Full Building Recharge,Workplace Services,00000841-G4S Secure Solutions (UK) Ltd,724234-33,"48,352.67"
601,CAB,Government Property Agency,31-Dec-24,Rent Expenditure,Landlord Services,00000312-M J Mapp Ltd,700197-229,"48,342.07"
602,CAB,Government Property Agency,31-Dec-24,Rent Expenditure,Landlord Services,00000303-Savills (RC's Rent & SC),699921-704,"48,315.03"
603,CAB,Government Property Agency,03-Dec-24,PPE - AUC Additions,PPE Additions,00000619-Swift Strategies Limited,3203598,"48,292.37"
604,CAB,Government Property Agency,31-Dec-24,Rates Expenditure,Landlord Services,00000024-Westminster City Council,P9 Man 14,"48,093.00"
605,CAB,Government Property Agency,31-Dec-24,Rent Expenditure,Landlord Services,10000037-Carter Jonas LLP,P9 Man 281,"47,521.84"
606,CAB,Government Property Agency,31-Dec-24,Rent Expenditure,Landlord Services,00000088-Avison Young (Client A/c re London & Continental Railways),P9 Man 45,"47,001.59"
607,CAB,Government Property Agency,31-Dec-24,Rent Expenditure,Landlord Services,00000303-Savills (RC's Rent & SC),699921-824,"46,925.93"
608,CAB,Government Property Agency,31-Dec-24,Rent Expenditure,Landlord Services,00000089-Metrus,699921-520,"46,896.55"
609,CAB,Government Property Agency,06-Dec-24,PPE - AUC Additions,PPE Additions,00000619-Swift Strategies Limited,3224629,"46,815.00"
610,CAB,Government Property Agency,31-Dec-24,Rent Expenditure,Landlord Services,00000119-Avison Young (GVA Grimley) - RC's & utilities,699930-150,"46,779.31"
611,CAB,Government Property Agency,31-Dec-24,Rates Expenditure,Landlord Services,00000043-City of London (Rates),718715-250,"46,720.00"
612,CAB,Government Property Agency,31-Dec-24,Head Lease Service Charge Expenditure,Landlord Services,00000872 -J.P. Morgan Europe Limited as a depositary of Aviva Investors,699971-34,"46,718.56"
613,CAB,Government Property Agency,31-Dec-24,Fixed FM Expenditure - Full Building Recharge,Workplace Services,00000840-ISS Facility Services Limited,723577-63,"46,703.82"
614,CAB,Government Property Agency,31-Dec-24,Operational Security Expenditure - Full Building Recharge,Workplace Services,00000841-G4S Secure Solutions (UK) Ltd,724234-6,"46,639.64"
615,CAB,Government Property Agency,31-Dec-24,Rent Expenditure,Landlord Services,00000025-AMAS Ltd (rent and SC - MAIN JLL account),727986-602,"46,480.78"
616,CAB,Government Property Agency,31-Dec-24,Rent Expenditure,Landlord Services,00000790-Equitix Rosebery 2022 LLP,699671-10,"46,067.21"
617,CAB,Government Property Agency,18-Dec-24,PPE - AUC Additions,PPE Additions,00000156-Tetra Tech Management Services Limited,3601722,"45,892.39"
618,CAB,Government Property Agency,31-Dec-24,Fixed FM Expenditure - Full Building Recharge,Workplace Services,00000840-ISS Facility Services Limited,724789-84,"45,754.00"
619,CAB,Government Property Agency,31-Dec-24,Rates Expenditure,Landlord Services,00000044- Manchester City Council,723600-31,"44,499.00"
620,CAB,Government Property Agency,13-Dec-24,PPE - AUC Additions,PPE Additions,00000197-Faithful + Gould Limited,3342127,"44,449.62"
621,CAB,Government Property Agency,13-Dec-24,PPE - AUC Additions,PPE Additions,00000080-Arcadis (UK) Ltd,3437162,"44,411.14"
622,CAB,Government Property Agency,18-Dec-24,PPE - AUC Additions,PPE Additions,00000279-Turner and Townsend Project Management Limited,3604776,"44,404.80"
623,CAB,Government Property Agency,18-Dec-24,PPE - AUC Additions,PPE Additions,00000279-Turner and Townsend Project Management Limited,3604773,"44,400.00"
624,CAB,Government Property Agency,11-Dec-24,Transformational Services Expenditure,Capital Projects,00000156-Tetra Tech Management Services Limited,3250858,"44,199.24"
625,CAB,Government Property Agency,09-Dec-24,PPE - AUC Additions,PPE Additions,00000509-Morris & Spottiswood Limited,3224809,"44,077.69"
626,CAB,Government Property Agency,31-Dec-24,Operational Security Expenditure - Full Building Recharge,Workplace Services,00000840-ISS Facility Services Limited,724765-51,"44,002.63"
627,CAB,Government Property Agency,31-Dec-24,Rent Expenditure,Landlord Services,00000120-EQUITIX GRIMSBY MA 1 LP,700197-50,"44,000.00"
628,CAB,Government Property Agency,31-Dec-24,Head Lease Service Charge Expenditure,Landlord Services,00000071-HM Revenue & Customs,712250-35,"43,957.13"
629,CAB,Government Property Agency,31-Dec-24,Rent Expenditure,Landlord Services,10000014-PIC Real Estate (Ruskin Square) LP,728224-464,"43,764.76"
630,CAB,Government Property Agency,04-Dec-24,PPE - AUC Additions,PPE Additions,10000041-Ove Arup & Partners Ltd,3214853,"43,526.26"
631,CAB,Government Property Agency,31-Dec-24,Rent Expenditure,Landlord Services,10000014-PIC Real Estate (Ruskin Square) LP,728224-344,"43,496.64"
632,CAB,Government Property Agency,31-Dec-24,Rent Expenditure,Landlord Services,00000469-Workman re HSBC Bank Pension Trust (UK) Limited,726557-696,"43,344.74"
633,CAB,Government Property Agency,31-Dec-24,Rent Expenditure,Landlord Services,00000282-Darlington Borough Council,700197-966,"43,297.66"
634,CAB,Government Property Agency,31-Dec-24,Rent Expenditure,Landlord Services,00000071-HM Revenue & Customs,P9 Man 36,"43,291.63"
635,CAB,Government Property Agency,11-Dec-24,PPE - AUC Additions,PPE Additions,00000288-Kier Facilities Services Ltd,3256089,"43,258.18"
