Report of all payments made by TfL for value equal to or greater than £250.00 Excl. VAT,,,,,,,,,,
Reporting Period:   4,,,,,,,,,,
Start Date:  25 June 2023,,,,,,,,,,
End Date:   22 July 2023,,,,,,,,,,
Financial Year:  2023/24,,,,,,,,,,
,,,,,,,,,,
Entity,Vendor,Expence Account,Document Number,Clearing Date,Amount,Merchant Category,,,,
LONDON UNDERGROUND LTD,HIREMECH LIMITED,Plant & Equipment Purchases,1005/5110298839,10 Jul 2023,563.33,,,,,
LONDON UNDERGROUND LTD,C E F,Vehicle Repairs & Maintenance,1005/5110296167,04 Jul 2023,563.00,,,,,
TRANSPORT TRADING LTD,ONE TIME SUPPLIER - FARES,Fares Refund Control  (TTL Only),1004/1101175617,28 Jun 2023,562.30,,,,,
LONDON BUS SERVICES LTD,CORPORATE DOCUMENT SERVICES LTD,Printing,1006/5110301383,19 Jul 2023,562.02,,,,,
TTL PROPERTIES LTD,HIGH COURT ENFORCEMENT GROUP LTD,Legal Fees,1040/5110291516,04 Jul 2023,561.60,,,,,
TRANSPORT TRADING LTD,MITIE FM LIMITED,Security Services (Guards),1004/5110292414,19 Jul 2023,561.18,,,,,
LUL NOMINEE BCV LIMITED,PARKSIDE STEEL (STOCKHOLDERS),Track General Maintenance,1033/5110284537,04 Jul 2023,560.80,,,,,
SURFACE TRANSPORT CORP,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1002/1900075938,19 Jul 2023,560.71,,,,,
SURFACE TRANSPORT CORP,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1002/1900075756,05 Jul 2023,560.71,,,,,
LT MUSEUM TRADING LTD,TM STUDIO PRODUCTIONS LTD,Production Artwork And Design For Marketing,1024/5110304286,21 Jul 2023,560.00,,,,,
RAIL FOR LONDON LIMITED,STADLER PANKOW GMBH,Stock of Fleet,1020/5110280937,29 Jun 2023,559.92,,,,,
DIAL A RIDE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1010/1900013396,19 Jul 2023,559.57,,,,,
LONDON UNDERGROUND LTD,BANNER GROUP LIMITED,Printing,1005/5110290685,19 Jul 2023,559.21,,,,,
TRANSPORT TRADING LTD,TRAPEZE ITS SWITZERLAND GMBH,Building Maintenance & Repairs,1004/5110294919,11 Jul 2023,559.00,,,,,
VICTORIA COACH STATN LTD,ROBLETT ELECTRICAL,Building Maintenance & Repairs,1008/5110302962,18 Jul 2023,558.99,,,,,
TRANSPORT TRADING LTD,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1004/1901695409,12 Jul 2023,558.91,,,,,
LONDON UNDERGROUND LTD,HAYLEY GROUP PLC,Office Cleaning,1005/5110291162,19 Jul 2023,558.90,,,,,
DIAL A RIDE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1010/1900013384,19 Jul 2023,558.62,,,,,
TFL CORPORATE,TRITECH 3D LTD,Fleet,1001/5110292601,28 Jun 2023,558.61,,,,,
TRANSPORT TRADING LTD,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1004/1901695279,05 Jul 2023,558.18,,,,,
LONDON UNDERGROUND LTD,HART DOOR SYSTEMS LTD,Building Maintenance & Repairs,1005/5110283835,28 Jun 2023,558.00,,,,,
LONDON UNDERGROUND LTD,C E F,Building Maintenance & Repairs,1005/5110296212,04 Jul 2023,556.99,,,,,
TRANSPORT TRADING LTD,LAVAZZA PROFESSIONAL UK LTD,Vending Machine Supplies & Rental,1004/1901695178,10 Jul 2023,556.45,,,,,
LONDON UNDERGROUND LTD,CHARLES PUGH WINDSCREENS LIMITED,Vehicle Repairs & Maintenance,1005/5110302805,19 Jul 2023,555.95,,,,,
LONDON UNDERGROUND LTD,ARNOLD CLARK FINANCE LIMITED,Vehicle Operating Leases,1005/5110283283,28 Jun 2023,555.52,,,,,
LONDON UNDERGROUND LTD,ARNOLD CLARK FINANCE LIMITED,Vehicle Operating Leases,1005/5110288987,12 Jul 2023,555.52,,,,,
DIAL A RIDE,SOUTHERN MOTOR GROUP CROYDON ,Vehicle Repairs & Maintenance,1010/5110303334,19 Jul 2023,555.30,,,,,
LONDON UNDERGROUND LTD,ASE CORPORATE EYECARE LTD,Miscellaneous Finance Expenses,1005/1900263885,13 Jul 2023,555.01,,,,,
RAIL FOR LONDON LIMITED,SIMPLY 4 GROUP LTD,Building Maintenance & Repairs,1020/5110297514,07 Jul 2023,555.00,,,,,
RAIL FOR LONDON LIMITED,SIMPLY 4 GROUP LTD,Professional Engineering Services,1020/5110299567,12 Jul 2023,555.00,,,,,
LONDON UNDERGROUND LTD,KNORR-BREMSE RAIL SYSTEMS LTD,Fleet,1005/5110290991,18 Jul 2023,554.80,,,,,
LONDON TRANSPORT MUSEUM,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1011/1900018169,19 Jul 2023,554.55,,,,,
TRANSPORT TRADING LTD,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1004/1901695676,19 Jul 2023,554.43,,,,,
LUL NOMINEE BCV LIMITED,PARKSIDE STEEL (STOCKHOLDERS),Track General Maintenance,1033/5110290873,18 Jul 2023,554.00,,,,,
TFL CORPORATE,LAVAZZA PROFESSIONAL UK LTD,Vending Machine Supplies & Rental,1001/1900174502,10 Jul 2023,553.45,,,,,
TFL CORPORATE,MOTIVAIR COMPRESSORS LTD,Plant & Equipment Purchases,1001/5110303854,20 Jul 2023,553.00,,,,,
LONDON UNDERGROUND LTD,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1005/1900263691,19 Jul 2023,552.75,,,,,
LONDON UNDERGROUND LTD,CITY SPRINT UK LTD,Couriers,1005/1900262048,07 Jul 2023,552.00,,,,,
PUBLIC CARRIAGE OFFICE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1003/1900058422,12 Jul 2023,551.60,,,,,
LONDON UNDERGROUND LTD,WAVE UTILITIES,Water,1005/1900263393,07 Jul 2023,551.20,,,,,
TFL CORPORATE,LAVAZZA PROFESSIONAL UK LTD,Vending Machine Supplies & Rental,1001/1900174494,10 Jul 2023,551.05,,,,,
TFL CORPORATE,KINGSBEECH LTD,Fleet,1001/5110293760,03 Jul 2023,551.01,,,,,
LUL NOMINEE SSL LIMITED,COMECH METROLOGY,Plant & Equipment Purchases,1031/5110294329,30 Jun 2023,550.58,,,,,
TFL CORPORATE,CORPORATE DOCUMENT SERVICES LTD,Advertising,1001/5110301377,19 Jul 2023,550.55,,,,,
TFL CORPORATE,CORPORATE DOCUMENT SERVICES LTD,Advertising,1001/5110301366,19 Jul 2023,550.55,,,,,
TFL CORPORATE,CORPORATE DOCUMENT SERVICES LTD,Advertising,1001/5110301371,19 Jul 2023,550.55,,,,,
TFL CORPORATE,CORPORATE DOCUMENT SERVICES LTD,Advertising,1001/5110301378,19 Jul 2023,550.55,,,,,
TFL CORPORATE,CORPORATE DOCUMENT SERVICES LTD,Advertising,1001/5110301375,19 Jul 2023,550.55,,,,,
TFL CORPORATE,CORPORATE DOCUMENT SERVICES LTD,Advertising,1001/5110301387,19 Jul 2023,550.55,,,,,
TFL CORPORATE,CORPORATE DOCUMENT SERVICES LTD,Advertising,1001/5110301367,19 Jul 2023,550.55,,,,,
TFL CORPORATE,CORPORATE DOCUMENT SERVICES LTD,Advertising,1001/5110301369,19 Jul 2023,550.55,,,,,
TFL CORPORATE,CORPORATE DOCUMENT SERVICES LTD,Advertising,1001/5110301376,19 Jul 2023,550.55,,,,,
TFL CORPORATE,CORPORATE DOCUMENT SERVICES LTD,Advertising,1001/5110301368,19 Jul 2023,550.55,,,,,
LT MUSEUM TRADING LTD,CAPITAL TRANSPORT PUBLISHING,Purchase of Books for Resale,1024/1900023336,11 Jul 2023,550.13,,,,,
TFL CORPORATE,GRAYSONS HOSPITALITY LIMITED,Event Management Fee,1001/5110292495,19 Jul 2023,550.00,,,,,
TRANSPORT TRADING LTD,ONE TIME SUPPLIER - FARES,Fares Refund Control  (TTL Only),1004/1101129491,05 Jul 2023,550.00,,,,,
LONDON UNDERGROUND LTD,FAIVELEY TRANSPORT TAMWORTH LTD,Fleet,1005/5110283247,28 Jun 2023,550.00,,,,,
LONDON UNDERGROUND LTD,FAIVELEY TRANSPORT TAMWORTH LTD,Fleet,1005/5110252542,04 Jul 2023,550.00,,,,,
LONDON UNDERGROUND LTD,FAIVELEY TRANSPORT TAMWORTH LTD,Fleet,1005/5110254004,06 Jul 2023,550.00,,,,,
LONDON UNDERGROUND LTD,FAIVELEY TRANSPORT TAMWORTH LTD,Fleet,1005/5110284016,03 Jul 2023,550.00,,,,,
LONDON UNDERGROUND LTD,FAIVELEY TRANSPORT TAMWORTH LTD,Fleet,1005/5110265745,29 Jun 2023,550.00,,,,,
LONDON UNDERGROUND LTD,FAIVELEY TRANSPORT TAMWORTH LTD,Fleet,1005/5110253603,04 Jul 2023,550.00,,,,,
LONDON UNDERGROUND LTD,FAIVELEY TRANSPORT TAMWORTH LTD,Fleet,1005/5110283246,28 Jun 2023,550.00,,,,,
LONDON UNDERGROUND LTD,FAIVELEY TRANSPORT TAMWORTH LTD,Fleet,1005/5110284018,03 Jul 2023,550.00,,,,,
LONDON UNDERGROUND LTD,FAIVELEY TRANSPORT TAMWORTH LTD,Fleet,1005/5110283210,28 Jun 2023,550.00,,,,,
LONDON UNDERGROUND LTD,FAIVELEY TRANSPORT TAMWORTH LTD,Fleet,1005/5110283136,28 Jun 2023,550.00,,,,,
LONDON UNDERGROUND LTD,FAIVELEY TRANSPORT TAMWORTH LTD,Fleet,1005/5110283161,28 Jun 2023,550.00,,,,,
LONDON UNDERGROUND LTD,SIEMENS MOBILITY LIMITED,Fleet,1005/5110285306,05 Jul 2023,550.00,,,,,
LONDON UNDERGROUND LTD,SIEMENS MOBILITY LIMITED,Fleet,1005/5110285279,05 Jul 2023,550.00,,,,,
LONDON UNDERGROUND LTD,FAIVELEY TRANSPORT TAMWORTH LTD,Fleet,1005/5110283133,28 Jun 2023,550.00,,,,,
LONDON UNDERGROUND LTD,SIEMENS MOBILITY LIMITED,Fleet,1005/5110285277,05 Jul 2023,550.00,,,,,
LONDON UNDERGROUND LTD,FAIVELEY TRANSPORT TAMWORTH LTD,Fleet,1005/5110250623,04 Jul 2023,550.00,,,,,
LONDON UNDERGROUND LTD,SIEMENS MOBILITY LIMITED,Fleet,1005/5110285280,05 Jul 2023,550.00,,,,,
LONDON UNDERGROUND LTD,FAIVELEY TRANSPORT TAMWORTH LTD,Fleet,1005/5110283260,28 Jun 2023,550.00,,,,,
LONDON UNDERGROUND LTD,FAIVELEY TRANSPORT TAMWORTH LTD,Fleet,1005/5110249436,04 Jul 2023,550.00,,,,,
LONDON UNDERGROUND LTD,PTSG ACCESS AND SAFETY LTD,Pumps & Drainage,1005/5110292899,19 Jul 2023,550.00,,,,,
LONDON UNDERGROUND LTD,FAIVELEY TRANSPORT TAMWORTH LTD,Stock of Fleet,1005/5110250010,10 Jul 2023,550.00,,,,,
LONDON UNDERGROUND LTD,SOLO RAIL SOLUTIONS LIMITED,Fleet,1005/5110289786,28 Jun 2023,549.42,,,,,
LONDON UNDERGROUND LTD,SOLO RAIL SOLUTIONS LIMITED,Fleet,1005/5110289789,28 Jun 2023,549.42,,,,,
LONDON UNDERGROUND LTD,SOLO RAIL SOLUTIONS LIMITED,Fleet,1005/5110289692,05 Jul 2023,549.42,,,,,
LONDON UNDERGROUND LTD,SOLO RAIL SOLUTIONS LIMITED,Fleet,1005/5110289609,05 Jul 2023,549.42,,,,,
LONDON UNDERGROUND LTD,SOLO RAIL SOLUTIONS LIMITED,Fleet,1005/5110289607,28 Jun 2023,549.42,,,,,
LONDON UNDERGROUND LTD,SOLO RAIL SOLUTIONS LIMITED,Fleet,1005/5110284607,28 Jun 2023,549.42,,,,,
SURFACE TRANSPORT CORP,CORPORATE DOCUMENT SERVICES LTD,Production Artwork And Design For Marketing,1002/5110301370,19 Jul 2023,549.08,,,,,
LONDON UNDERGROUND LTD,RS COMPONENTS LTD,Office Cleaning,1005/5110286436,07 Jul 2023,548.70,,,,,
TFL CORPORATE,LAVAZZA PROFESSIONAL UK LTD,Vending Machine Supplies & Rental,1001/1900174500,10 Jul 2023,548.62,,,,,
LONDON UNDERGROUND LTD,VALCO UK ENGINEERING LTD,Stock of Signals and Electricals,1005/5110288022,11 Jul 2023,548.60,,,,,
TFL CORPORATE,WORLDLINE IT SERVICES UK LTD,Computer Software,1001/5110289806,12 Jul 2023,548.50,,,,,
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001/1900176968,19 Jul 2023,547.69,,,,,
TRANSPORT TRADING LTD,ONE TIME SUPPLIER - FARES,Fares Refund Control  (TTL Only),1004/1101178330,06 Jul 2023,547.65,,,,,
LONDON UNDERGROUND LTD,HAYLEY GROUP PLC,Fleet,1005/5110286269,05 Jul 2023,547.46,,,,,
PUBLIC CARRIAGE OFFICE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1003/1900058183,28 Jun 2023,547.05,,,,,
PUBLIC CARRIAGE OFFICE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1003/1900058417,12 Jul 2023,547.05,,,,,
PUBLIC CARRIAGE OFFICE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1003/1900058441,12 Jul 2023,547.05,,,,,
PUBLIC CARRIAGE OFFICE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1003/1900058484,12 Jul 2023,547.05,,,,,
PUBLIC CARRIAGE OFFICE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1003/1900058113,28 Jun 2023,547.05,,,,,
PUBLIC CARRIAGE OFFICE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1003/1900058635,19 Jul 2023,547.05,,,,,
PUBLIC CARRIAGE OFFICE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1003/1900058622,19 Jul 2023,547.05,,,,,
PUBLIC CARRIAGE OFFICE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1003/1900058486,12 Jul 2023,547.05,,,,,
PUBLIC CARRIAGE OFFICE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1003/1900058448,12 Jul 2023,547.05,,,,,
PUBLIC CARRIAGE OFFICE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1003/1900058580,19 Jul 2023,547.05,,,,,
PUBLIC CARRIAGE OFFICE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1003/1900058363,05 Jul 2023,547.05,,,,,
PUBLIC CARRIAGE OFFICE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1003/1900058582,19 Jul 2023,547.05,,,,,
PUBLIC CARRIAGE OFFICE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1003/1900058379,05 Jul 2023,547.05,,,,,
PUBLIC CARRIAGE OFFICE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1003/1900058251,28 Jun 2023,547.05,,,,,
PUBLIC CARRIAGE OFFICE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1003/1900058430,12 Jul 2023,547.05,,,,,
PUBLIC CARRIAGE OFFICE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1003/1900058572,12 Jul 2023,547.05,,,,,
PUBLIC CARRIAGE OFFICE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1003/1900058359,05 Jul 2023,547.05,,,,,
PUBLIC CARRIAGE OFFICE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1003/1900058449,12 Jul 2023,547.05,,,,,
LUL NOMINEE SSL LIMITED,ALSTOM ENGINEERING & SERVICES LTD,Fleet,1031/5110287721,11 Jul 2023,546.48,,,,,
LONDON UNDERGROUND LTD,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1005/1900262656,05 Jul 2023,546.42,,,,,
LONDON UNDERGROUND LTD,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1005/1900263557,19 Jul 2023,546.42,,,,,
PUBLIC CARRIAGE OFFICE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1003/1900058143,28 Jun 2023,546.41,,,,,
TFL CORPORATE,LAVAZZA PROFESSIONAL UK LTD,Vending Machine Supplies & Rental,1001/1900178018,10 Jul 2023,546.39,,,,,
LONDON UNDERGROUND LTD,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1005/1900262924,05 Jul 2023,546.35,,,,,
LUL NOMINEE BCV LIMITED,KNORR-BREMSE RAIL SYSTEMS LTD,Electrical & Electronic Engineering,1033/5110272933,28 Jun 2023,546.00,,,,,
LONDON UNDERGROUND LTD,RS COMPONENTS LTD,Plant & Equipment Purchases,1005/5110286377,07 Jul 2023,545.93,,,,,
LONDON TRANSPORT MUSEUM,COMPACTORS DIRECT LTD,Non Recyclable Waste Disposal/Refuse Collection,1011/5110288907,03 Jul 2023,545.67,,,,,
LONDON UNDERGROUND LTD,TIDYCO LTD,Stock of Fleet,1005/5110292130,18 Jul 2023,545.40,,,,,
TFL CORPORATE,DEEPSTORE LIMITED,Document Archive & Storage,1001/5110297667,06 Jul 2023,545.31,,,,,
TRANSPORT TRADING LTD,LAVAZZA PROFESSIONAL UK LTD,Vending Machine Supplies & Rental,1004/1901695715,10 Jul 2023,545.30,,,,,
LONDON UNDERGROUND LTD,PSV GLASS - (ABL HOLDING) LTD,Vehicle Repairs & Maintenance,1005/5110293696,28 Jun 2023,545.00,,,,,
LONDON UNDERGROUND LTD,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1005/1900262131,28 Jun 2023,544.95,,,,,
TTL PROPERTIES LTD,EDF ENERGY,Electricity,1040/1900005538,05 Jul 2023,544.83,,,,,
LUL NOMINEE SSL LIMITED,KNORR-BREMSE RAIL SYSTEMS LTD,Stock of Fleet,1031/5110284804,28 Jun 2023,544.43,,,,,
LONDON UNDERGROUND LTD,C E F,Vehicle Repairs & Maintenance,1005/5110294793,03 Jul 2023,544.00,,,,,
LONDON UNDERGROUND LTD,RS COMPONENTS LTD,Fleet,1005/5110292320,21 Jul 2023,543.60,,,,,
SURFACE TRANSPORT CORP,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1002/1900075674,28 Jun 2023,543.55,,,,,
TRANSPORT TRADING LTD,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1004/1901695136,28 Jun 2023,543.21,,,,,
LONDON UNDERGROUND LTD,C WOODFORD ENGINEERING LTD,Vehicle Repairs & Maintenance,1005/5110296247,05 Jul 2023,543.00,,,,,
LONDON UNDERGROUND LTD,RS COMPONENTS LTD,Plant & Equipment Purchases,1005/5110282329,28 Jun 2023,542.63,,,,,
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001/1900173864,28 Jun 2023,542.52,,,,,
LONDON UNDERGROUND LTD,COMPUTACENTER PLC,Computer Hardware,1005/5110284128,04 Jul 2023,542.22,,,,,
PUBLIC CARRIAGE OFFICE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1003/1900058320,05 Jul 2023,541.88,,,,,
SURFACE TRANSPORT CORP,REACH PUBLISHING SERVICES LIMITED,Statutory Ads Notices Communications & Consultatio,1002/5110290106,14 Jul 2023,541.84,,,,,
LONDON UNDERGROUND LTD,HIREMECH LIMITED,Plant & Equipment Purchases,1005/5110298762,10 Jul 2023,541.67,,,,,
LONDON UNDERGROUND LTD,HIREMECH LIMITED,Vehicle Repairs & Maintenance,1005/5110298765,10 Jul 2023,541.67,,,,,
LONDON UNDERGROUND LTD,BROWNINGS ELECTRIC CO LTD,Escalators,1005/5110297231,05 Jul 2023,541.12,,,,,
TFL CORPORATE,EQUINIX (UK) LTD,Manage IT Services,1001/5110283163,28 Jun 2023,540.75,,,,,
LONDON UNDERGROUND LTD,MILLS LTD,Maintenance Materials,1005/5110292833,19 Jul 2023,540.32,,,,,
PUBLIC CARRIAGE OFFICE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1003/1900058101,28 Jun 2023,540.24,,,,,
PUBLIC CARRIAGE OFFICE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1003/1900058202,28 Jun 2023,540.24,,,,,
PUBLIC CARRIAGE OFFICE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1003/1900058557,12 Jul 2023,540.24,,,,,
PUBLIC CARRIAGE OFFICE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1003/1900058618,19 Jul 2023,540.24,,,,,
LUL NOMINEE SSL LIMITED,WJB SERVICES LIMITED,Building Maintenance & Repairs,1031/5110293948,03 Jul 2023,540.00,,,,,
LONDON UNDERGROUND LTD,SPEEDY ASSET SERVICES LTD,Equipment Repairs & Maintenance,1005/5110290372,05 Jul 2023,540.00,,,,,
TRANSPORT TRADING LTD,QUAY OFFICE FURNISHERS LTD,Furniture & Equipment,1004/5110290738,27 Jun 2023,540.00,,,,,
LONDON UNDERGROUND LTD,KONECRANES DEMAG UK LTD,Plant & Equipment Purchases,1005/5110303764,20 Jul 2023,540.00,,,,,
SURFACE TRANSPORT CORP,CAMDEN NEW JOURNAL,PR Cost Product Cost & PR Fees,1002/5110302839,19 Jul 2023,540.00,,,,,
DIAL A RIDE,COACHWORKS LTD,Vehicle Running Costs,1010/5110302725,18 Jul 2023,540.00,,,,,
RAIL FOR LONDON LIMITED,BANNER GROUP LIMITED,Caterers Service Charges,1020/5110284141,05 Jul 2023,539.89,,,,,
TRANSPORT TRADING LTD,HARRIS INSTALLATIONS SERVICES LTD,Office Accommodation Moves,1004/5110301060,19 Jul 2023,539.60,,,,,
PUBLIC CARRIAGE OFFICE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1003/1900058725,19 Jul 2023,538.44,,,,,
VICTORIA COACH STATN LTD,ROBLETT ELECTRICAL,Building Maintenance & Repairs,1008/5110291033,26 Jun 2023,537.85,,,,,
PUBLIC CARRIAGE OFFICE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1003/1900058693,19 Jul 2023,537.81,,,,,
TFL CORPORATE,ORION ACCESS EQUIPMENT LIMITED,Staff Training,1001/5110278993,27 Jun 2023,537.50,,,,,
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001/1900174828,05 Jul 2023,536.81,,,,,
LUL NOMINEE BCV LIMITED,BARENCO LTD,Maintenance Materials,1033/5110301056,19 Jul 2023,536.81,,,,,
RFL (IINFRASTRUCTURE) LTD,QUADIENT UK LTD,Postage,1025/5110270114,05 Jul 2023,536.00,,,,,
LONDON UNDERGROUND LTD,HAYLEY GROUP PLC,Maintenance Materials,1005/5110291169,19 Jul 2023,535.98,,,,,
TTL PROPERTIES LTD,EDF ENERGY,Electricity,1040/1900005539,05 Jul 2023,535.96,,,,,
LONDON BUS SERVICES LTD,GBM SERVICES LIMITED,Office Cleaning,1006/5110291600,28 Jun 2023,535.63,,,,,
LONDON UNDERGROUND LTD,CWW ENGINEERS SUPPLY CO LTD,Maintenance Materials,1005/5110290920,18 Jul 2023,535.40,,,,,
TRANSPORT TRADING LTD,LAVAZZA PROFESSIONAL UK LTD,Vending Machine Supplies & Rental,1004/1901695180,10 Jul 2023,535.04,,,,,
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001/1900176997,19 Jul 2023,535.03,,,,,
LUL NOMINEE SSL LIMITED,VOITH TURBO LTD,Component Repairs Sub Contracted,1031/5110298907,12 Jul 2023,535.00,,,,,
LONDON UNDERGROUND LTD,BROWNINGS ELECTRIC CO LTD,Electrical Equipment Maintenance,1005/5110290951,26 Jun 2023,535.00,,,,,
LUL NOMINEE SSL LIMITED,ROSS PNEUMATROL LTD,Fleet,1031/5110299999,12 Jul 2023,534.97,,,,,
LUL NOMINEE SSL LIMITED,ROSS PNEUMATROL LTD,Fleet,1031/5110301837,17 Jul 2023,534.97,,,,,
LUL NOMINEE SSL LIMITED,ROSS PNEUMATROL LTD,Fleet,1031/5110299997,12 Jul 2023,534.97,,,,,
LUL NOMINEE SSL LIMITED,ROSS PNEUMATROL LTD,Fleet,1031/5110301843,17 Jul 2023,534.97,,,,,
LUL NOMINEE SSL LIMITED,ROSS PNEUMATROL LTD,Fleet,1031/5110301844,17 Jul 2023,534.97,,,,,
LUL NOMINEE SSL LIMITED,ROSS PNEUMATROL LTD,Fleet,1031/5110289907,17 Jul 2023,534.97,,,,,
LUL NOMINEE SSL LIMITED,ROSS PNEUMATROL LTD,Fleet,1031/5110301839,17 Jul 2023,534.97,,,,,
LUL NOMINEE SSL LIMITED,ROSS PNEUMATROL LTD,Fleet,1031/5110301841,17 Jul 2023,534.97,,,,,
LUL NOMINEE SSL LIMITED,ROSS PNEUMATROL LTD,Fleet,1031/5110301842,17 Jul 2023,534.97,,,,,
LUL NOMINEE SSL LIMITED,ROSS PNEUMATROL LTD,Fleet,1031/5110299996,12 Jul 2023,534.97,,,,,
LUL NOMINEE SSL LIMITED,ROSS PNEUMATROL LTD,Fleet,1031/5110289902,17 Jul 2023,534.97,,,,,
LUL NOMINEE SSL LIMITED,ROSS PNEUMATROL LTD,Fleet,1031/5110289903,17 Jul 2023,534.97,,,,,
LUL NOMINEE SSL LIMITED,ROSS PNEUMATROL LTD,Fleet,1031/5110289751,14 Jul 2023,534.97,,,,,
LUL NOMINEE SSL LIMITED,ROSS PNEUMATROL LTD,Fleet,1031/5110289821,17 Jul 2023,534.97,,,,,
LUL NOMINEE SSL LIMITED,ROSS PNEUMATROL LTD,Fleet,1031/5110299990,12 Jul 2023,534.97,,,,,
LUL NOMINEE SSL LIMITED,ROSS PNEUMATROL LTD,Fleet,1031/5110299992,12 Jul 2023,534.97,,,,,
LUL NOMINEE SSL LIMITED,ROSS PNEUMATROL LTD,Fleet,1031/5110299993,12 Jul 2023,534.97,,,,,
LUL NOMINEE SSL LIMITED,ROSS PNEUMATROL LTD,Fleet,1031/5110289748,17 Jul 2023,534.97,,,,,
LONDON UNDERGROUND LTD,HAYLEY GROUP PLC,Plant & Equipment Purchases,1005/5110280717,27 Jun 2023,534.45,,,,,
LONDON UNDERGROUND LTD,HAYLEY GROUP PLC,Fleet,1005/5110290590,18 Jul 2023,534.00,,,,,
PUBLIC CARRIAGE OFFICE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1003/1900058670,19 Jul 2023,533.89,,,,,
PUBLIC CARRIAGE OFFICE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1003/1900058636,19 Jul 2023,533.89,,,,,
PUBLIC CARRIAGE OFFICE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1003/1900058478,12 Jul 2023,533.89,,,,,
PUBLIC CARRIAGE OFFICE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1003/1900058444,12 Jul 2023,533.89,,,,,
PUBLIC CARRIAGE OFFICE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1003/1900058675,19 Jul 2023,533.89,,,,,
PUBLIC CARRIAGE OFFICE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1003/1900058681,19 Jul 2023,533.89,,,,,
PUBLIC CARRIAGE OFFICE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1003/1900058651,19 Jul 2023,533.89,,,,,
PUBLIC CARRIAGE OFFICE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1003/1900058273,05 Jul 2023,533.89,,,,,
PUBLIC CARRIAGE OFFICE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1003/1900058147,28 Jun 2023,533.89,,,,,
PUBLIC CARRIAGE OFFICE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1003/1900058588,19 Jul 2023,533.89,,,,,
PUBLIC CARRIAGE OFFICE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1003/1900058149,28 Jun 2023,533.89,,,,,
PUBLIC CARRIAGE OFFICE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1003/1900058537,12 Jul 2023,533.89,,,,,
